ngram,min_df,max_df,max_feature,C,f_score_weighted
"(1, 2)",5,0.1,50000,0.1,0.70812717038218
"(1, 2)",5,0.1,50000,1,0.785031493856128
"(1, 2)",5,0.1,50000,5,0.769965917597976
"(1, 2)",5,0.1,50000,10,0.765383257122359
"(1, 2)",5,0.1,50000,20,0.761977390883215
"(1, 2)",5,0.1,100000,0.1,0.708673055435976
"(1, 2)",5,0.1,100000,1,0.7853768862235
"(1, 2)",5,0.1,100000,5,0.775927869165685
"(1, 2)",5,0.1,100000,10,0.774381471587472
"(1, 2)",5,0.1,100000,20,0.772697142017357
"(1, 2)",5,0.2,50000,0.1,0.719463410893736
"(1, 2)",5,0.2,50000,1,0.789037895553227
"(1, 2)",5,0.2,50000,5,0.770506692601035
"(1, 2)",5,0.2,50000,10,0.764797886454902
"(1, 2)",5,0.2,50000,20,0.762759339691821
"(1, 2)",5,0.2,100000,0.1,0.719727161267209
"(1, 2)",5,0.2,100000,1,0.788346129063197
"(1, 2)",5,0.2,100000,5,0.77735891631216
"(1, 2)",5,0.2,100000,10,0.775075241969591
"(1, 2)",5,0.2,100000,20,0.770602058544639
"(1, 2)",5,0.3,50000,0.1,0.722569210401269
"(1, 2)",5,0.3,50000,1,0.788896228720741
"(1, 2)",5,0.3,50000,5,0.770753787491799
"(1, 2)",5,0.3,50000,10,0.767339613513882
"(1, 2)",5,0.3,50000,20,0.764391931227582
"(1, 2)",5,0.3,100000,0.1,0.723052885225744
"(1, 2)",5,0.3,100000,1,0.789000300682925
"(1, 2)",5,0.3,100000,5,0.777949354485626
"(1, 2)",5,0.3,100000,10,0.775477537932756
"(1, 2)",5,0.3,100000,20,0.774737943377676
"(1, 2)",10,0.1,50000,0.1,0.708548649476565
"(1, 2)",10,0.1,50000,1,0.787339693813248
"(1, 2)",10,0.1,50000,5,0.767320694630477
"(1, 2)",10,0.1,50000,10,0.762929846286048
"(1, 2)",10,0.1,50000,20,0.759902631696924
"(1, 2)",10,0.1,100000,0.1,0.709108125359554
"(1, 2)",10,0.1,100000,1,0.78633039801063
"(1, 2)",10,0.1,100000,5,0.771830691461715
"(1, 2)",10,0.1,100000,10,0.768866884472667
"(1, 2)",10,0.1,100000,20,0.766545698356862
"(1, 2)",10,0.2,50000,0.1,0.719061643104107
"(1, 2)",10,0.2,50000,1,0.787746005523117
"(1, 2)",10,0.2,50000,5,0.770764968446546
"(1, 2)",10,0.2,50000,10,0.766130818273937
"(1, 2)",10,0.2,50000,20,0.764195417950575
"(1, 2)",10,0.2,100000,0.1,0.71912725756911
"(1, 2)",10,0.2,100000,1,0.789226300096578
"(1, 2)",10,0.2,100000,5,0.775617216813733
"(1, 2)",10,0.2,100000,10,0.771869793353238
"(1, 2)",10,0.2,100000,20,0.771240626690437
"(1, 2)",10,0.3,50000,0.1,0.721722792142905
"(1, 2)",10,0.3,50000,1,0.789559048677786
"(1, 2)",10,0.3,50000,5,0.769327263398127
"(1, 2)",10,0.3,50000,10,0.76595677041829
"(1, 2)",10,0.3,50000,20,0.763153056838537
"(1, 2)",10,0.3,100000,0.1,0.72167278111627
"(1, 2)",10,0.3,100000,1,0.790026778683477
"(1, 2)",10,0.3,100000,5,0.77516383944819
"(1, 2)",10,0.3,100000,10,0.772843107165011
"(1, 2)",10,0.3,100000,20,0.771287825633206
"(1, 2)",20,0.1,50000,0.1,0.708694116151481
"(1, 2)",20,0.1,50000,1,0.78451126374727
"(1, 2)",20,0.1,50000,5,0.764725167882168
"(1, 2)",20,0.1,50000,10,0.75793306673388
"(1, 2)",20,0.1,50000,20,0.753973339513144
"(1, 2)",20,0.1,100000,0.1,0.708756034795454
"(1, 2)",20,0.1,100000,1,0.78451126374727
"(1, 2)",20,0.1,100000,5,0.764725167882168
"(1, 2)",20,0.1,100000,10,0.757870050312557
"(1, 2)",20,0.1,100000,20,0.753721151555663
"(1, 2)",20,0.2,50000,0.1,0.719437985639156
"(1, 2)",20,0.2,50000,1,0.78757169292858
"(1, 2)",20,0.2,50000,5,0.766310056277299
"(1, 2)",20,0.2,50000,10,0.759913285832642
"(1, 2)",20,0.2,50000,20,0.754499474521931
"(1, 2)",20,0.2,100000,0.1,0.719437985639156
"(1, 2)",20,0.2,100000,1,0.78757169292858
"(1, 2)",20,0.2,100000,5,0.766375572746756
"(1, 2)",20,0.2,100000,10,0.759836773382687
"(1, 2)",20,0.2,100000,20,0.75451937062144
"(1, 2)",20,0.3,50000,0.1,0.722685277240339
"(1, 2)",20,0.3,50000,1,0.788412787080915
"(1, 2)",20,0.3,50000,5,0.766593692933404
"(1, 2)",20,0.3,50000,10,0.760719196419957
"(1, 2)",20,0.3,50000,20,0.755122692765643
"(1, 2)",20,0.3,100000,0.1,0.722685277240339
"(1, 2)",20,0.3,100000,1,0.788412787080915
"(1, 2)",20,0.3,100000,5,0.766593692933404
"(1, 2)",20,0.3,100000,10,0.760645668690808
"(1, 2)",20,0.3,100000,20,0.755134811024106
"(1, 3)",5,0.1,50000,0.1,0.707304940572576
"(1, 3)",5,0.1,50000,1,0.784938977378278
"(1, 3)",5,0.1,50000,5,0.771592264192755
"(1, 3)",5,0.1,50000,10,0.769290072936233
"(1, 3)",5,0.1,50000,20,0.766615219995237
"(1, 3)",5,0.1,100000,0.1,0.708947825087647
"(1, 3)",5,0.1,100000,1,0.784055593760739
"(1, 3)",5,0.1,100000,5,0.772888810640109
"(1, 3)",5,0.1,100000,10,0.771264299450515
"(1, 3)",5,0.1,100000,20,0.770116884116124
"(1, 3)",5,0.2,50000,0.1,0.719913515473222
"(1, 3)",5,0.2,50000,1,0.789057948773127
"(1, 3)",5,0.2,50000,5,0.776181850824939
"(1, 3)",5,0.2,50000,10,0.77070501904174
"(1, 3)",5,0.2,50000,20,0.767518218759825
"(1, 3)",5,0.2,100000,0.1,0.718758115944443
"(1, 3)",5,0.2,100000,1,0.787247133830262
"(1, 3)",5,0.2,100000,5,0.77700926502028
"(1, 3)",5,0.2,100000,10,0.775024785817778
"(1, 3)",5,0.2,100000,20,0.773981306224336
"(1, 3)",5,0.3,50000,0.1,0.723092462766863
"(1, 3)",5,0.3,50000,1,0.789395259271829
"(1, 3)",5,0.3,50000,5,0.774077804295843
"(1, 3)",5,0.3,50000,10,0.771488891561016
"(1, 3)",5,0.3,50000,20,0.768960792798724
"(1, 3)",5,0.3,100000,0.1,0.722881284563854
"(1, 3)",5,0.3,100000,1,0.787796806695724
"(1, 3)",5,0.3,100000,5,0.775331098201835
"(1, 3)",5,0.3,100000,10,0.773342792622815
"(1, 3)",5,0.3,100000,20,0.773198918487175
"(1, 3)",10,0.1,50000,0.1,0.708358194586633
"(1, 3)",10,0.1,50000,1,0.786112741131036
"(1, 3)",10,0.1,50000,5,0.766861958488395
"(1, 3)",10,0.1,50000,10,0.763482962619571
"(1, 3)",10,0.1,50000,20,0.761849863501475
"(1, 3)",10,0.1,100000,0.1,0.709309066168494
"(1, 3)",10,0.1,100000,1,0.785700821743198
"(1, 3)",10,0.1,100000,5,0.771152364441149
"(1, 3)",10,0.1,100000,10,0.768045555731201
"(1, 3)",10,0.1,100000,20,0.766838043292698
"(1, 3)",10,0.2,50000,0.1,0.718970907078783
"(1, 3)",10,0.2,50000,1,0.788721916965622
"(1, 3)",10,0.2,50000,5,0.770518754202053
"(1, 3)",10,0.2,50000,10,0.766984829070577
"(1, 3)",10,0.2,50000,20,0.764220264054184
"(1, 3)",10,0.2,100000,0.1,0.71957127217382
"(1, 3)",10,0.2,100000,1,0.787309495269641
"(1, 3)",10,0.2,100000,5,0.774889227148859
"(1, 3)",10,0.2,100000,10,0.77266582139137
"(1, 3)",10,0.2,100000,20,0.77110176971805
"(1, 3)",10,0.3,50000,0.1,0.721671917178038
"(1, 3)",10,0.3,50000,1,0.789726401686329
"(1, 3)",10,0.3,50000,5,0.77149024389857
"(1, 3)",10,0.3,50000,10,0.76639008705392
"(1, 3)",10,0.3,50000,20,0.765218023753652
"(1, 3)",10,0.3,100000,0.1,0.722333067357246
"(1, 3)",10,0.3,100000,1,0.789577940248152
"(1, 3)",10,0.3,100000,5,0.775079917471727
"(1, 3)",10,0.3,100000,10,0.772519910054663
"(1, 3)",10,0.3,100000,20,0.770053085915068
"(1, 3)",20,0.1,50000,0.1,0.709485253415272
"(1, 3)",20,0.1,50000,1,0.786326985178443
"(1, 3)",20,0.1,50000,5,0.764837001388776
"(1, 3)",20,0.1,50000,10,0.758318970119494
"(1, 3)",20,0.1,50000,20,0.754305260466441
"(1, 3)",20,0.1,100000,0.1,0.709356416036994
"(1, 3)",20,0.1,100000,1,0.786326985178443
"(1, 3)",20,0.1,100000,5,0.76487894911059
"(1, 3)",20,0.1,100000,10,0.75805365514175
"(1, 3)",20,0.1,100000,20,0.754605850420307
"(1, 3)",20,0.2,50000,0.1,0.720137367258092
"(1, 3)",20,0.2,50000,1,0.788789323155126
"(1, 3)",20,0.2,50000,5,0.767178097296367
"(1, 3)",20,0.2,50000,10,0.760612564212472
"(1, 3)",20,0.2,50000,20,0.75643485201207
"(1, 3)",20,0.2,100000,0.1,0.720009053536526
"(1, 3)",20,0.2,100000,1,0.788789323155126
"(1, 3)",20,0.2,100000,5,0.767232737177632
"(1, 3)",20,0.2,100000,10,0.76045470717505
"(1, 3)",20,0.2,100000,20,0.756203507713575
"(1, 3)",20,0.3,50000,0.1,0.722474023014788
"(1, 3)",20,0.3,50000,1,0.789481493806528
"(1, 3)",20,0.3,50000,5,0.768389906632798
"(1, 3)",20,0.3,50000,10,0.760699262456071
"(1, 3)",20,0.3,50000,20,0.757850286257877
"(1, 3)",20,0.3,100000,0.1,0.722474023014788
"(1, 3)",20,0.3,100000,1,0.789481493806528
"(1, 3)",20,0.3,100000,5,0.768287469199837
"(1, 3)",20,0.3,100000,10,0.760623357741262
"(1, 3)",20,0.3,100000,20,0.757421976618192
"(1, 4)",5,0.1,50000,0.1,0.708784478171246
"(1, 4)",5,0.1,50000,1,0.785454193607617
"(1, 4)",5,0.1,50000,5,0.771688574338682
"(1, 4)",5,0.1,50000,10,0.769952239081541
"(1, 4)",5,0.1,50000,20,0.767563002262732
"(1, 4)",5,0.1,100000,0.1,0.70920897809904
"(1, 4)",5,0.1,100000,1,0.784927911851653
"(1, 4)",5,0.1,100000,5,0.772300022905078
"(1, 4)",5,0.1,100000,10,0.769836812917653
"(1, 4)",5,0.1,100000,20,0.770004542220965
"(1, 4)",5,0.2,50000,0.1,0.718870113309468
"(1, 4)",5,0.2,50000,1,0.787691356538852
"(1, 4)",5,0.2,50000,5,0.775383622707435
"(1, 4)",5,0.2,50000,10,0.77232470808271
"(1, 4)",5,0.2,50000,20,0.768712850552231
"(1, 4)",5,0.2,100000,0.1,0.718496527192995
"(1, 4)",5,0.2,100000,1,0.787611537309061
"(1, 4)",5,0.2,100000,5,0.773984357220729
"(1, 4)",5,0.2,100000,10,0.771509595579166
"(1, 4)",5,0.2,100000,20,0.770251551406403
"(1, 4)",5,0.3,50000,0.1,0.722822465261274
"(1, 4)",5,0.3,50000,1,0.789845099544801
"(1, 4)",5,0.3,50000,5,0.773898153453551
"(1, 4)",5,0.3,50000,10,0.770360190972728
"(1, 4)",5,0.3,50000,20,0.767306333638056
"(1, 4)",5,0.3,100000,0.1,0.723453039479562
"(1, 4)",5,0.3,100000,1,0.788189633318849
"(1, 4)",5,0.3,100000,5,0.776627494134579
"(1, 4)",5,0.3,100000,10,0.77322047147226
"(1, 4)",5,0.3,100000,20,0.770526389167946
"(1, 4)",10,0.1,50000,0.1,0.709118484053852
"(1, 4)",10,0.1,50000,1,0.787119771917212
"(1, 4)",10,0.1,50000,5,0.766896096630485
"(1, 4)",10,0.1,50000,10,0.764656193289098
"(1, 4)",10,0.1,50000,20,0.762448449272313
"(1, 4)",10,0.1,100000,0.1,0.709709654240571
"(1, 4)",10,0.1,100000,1,0.786149645489323
"(1, 4)",10,0.1,100000,5,0.771629523779942
"(1, 4)",10,0.1,100000,10,0.769522246019722
"(1, 4)",10,0.1,100000,20,0.767239278076513
"(1, 4)",10,0.2,50000,0.1,0.719670678776657
"(1, 4)",10,0.2,50000,1,0.78858732794944
"(1, 4)",10,0.2,50000,5,0.77083032580795
"(1, 4)",10,0.2,50000,10,0.767037980872126
"(1, 4)",10,0.2,50000,20,0.765472896330141
"(1, 4)",10,0.2,100000,0.1,0.719215500031819
"(1, 4)",10,0.2,100000,1,0.787552583770528
"(1, 4)",10,0.2,100000,5,0.775207884170111
"(1, 4)",10,0.2,100000,10,0.772519202066183
"(1, 4)",10,0.2,100000,20,0.77206711564055
"(1, 4)",10,0.3,50000,0.1,0.721572184524585
"(1, 4)",10,0.3,50000,1,0.791578439899064
"(1, 4)",10,0.3,50000,5,0.772589200109579
"(1, 4)",10,0.3,50000,10,0.768552644217008
"(1, 4)",10,0.3,50000,20,0.766404259512085
"(1, 4)",10,0.3,100000,0.1,0.722068094430114
"(1, 4)",10,0.3,100000,1,0.789444932908533
"(1, 4)",10,0.3,100000,5,0.776672321462137
"(1, 4)",10,0.3,100000,10,0.773399247545193
"(1, 4)",10,0.3,100000,20,0.771749965206852
"(1, 4)",20,0.1,50000,0.1,0.709278278220285
"(1, 4)",20,0.1,50000,1,0.786411105663638
"(1, 4)",20,0.1,50000,5,0.764893075454226
"(1, 4)",20,0.1,50000,10,0.759058323632404
"(1, 4)",20,0.1,50000,20,0.754300864402052
"(1, 4)",20,0.1,100000,0.1,0.709278278220285
"(1, 4)",20,0.1,100000,1,0.78634481235025
"(1, 4)",20,0.1,100000,5,0.764930363780595
"(1, 4)",20,0.1,100000,10,0.75906671447961
"(1, 4)",20,0.1,100000,20,0.754288103130163
"(1, 4)",20,0.2,50000,0.1,0.719436945971137
"(1, 4)",20,0.2,50000,1,0.788459733129935
"(1, 4)",20,0.2,50000,5,0.766297303561191
"(1, 4)",20,0.2,50000,10,0.759925808614995
"(1, 4)",20,0.2,50000,20,0.757722297199455
"(1, 4)",20,0.2,100000,0.1,0.719436945971137
"(1, 4)",20,0.2,100000,1,0.78845932162675
"(1, 4)",20,0.2,100000,5,0.766464873596957
"(1, 4)",20,0.2,100000,10,0.759931984586422
"(1, 4)",20,0.2,100000,20,0.757578507656871
"(1, 4)",20,0.3,50000,0.1,0.722393327656779
"(1, 4)",20,0.3,50000,1,0.78994789495702
"(1, 4)",20,0.3,50000,5,0.767788371634034
"(1, 4)",20,0.3,50000,10,0.761751316652994
"(1, 4)",20,0.3,50000,20,0.758488433253738
"(1, 4)",20,0.3,100000,0.1,0.722393327656779
"(1, 4)",20,0.3,100000,1,0.790124667797183
"(1, 4)",20,0.3,100000,5,0.767713921869858
"(1, 4)",20,0.3,100000,10,0.761710297784805
"(1, 4)",20,0.3,100000,20,0.758684264291708
